Id,Zip Code,Status,Days,Created at
2265,394210,enable,5,2/24/2018
2266,394221,enable,5,2/24/2018
2267,394230,enable,5,2/24/2018
2268,395010,enable,5,2/24/2018
2269,395023,enable,5,2/24/2018
2270,384305,enable,5,2/24/2018
2271,382465,enable,5,2/24/2018
2272,382425,enable,5,2/24/2018
2273,394327,enable,5,2/24/2018
2274,364004,enable,5,2/24/2018
2275,364003,enable,5,2/24/2018
2276,364006,enable,5,2/24/2018
2277,364240,enable,5,2/24/2018
2278,388130,enable,5,2/24/2018
2279,388345,enable,5,2/24/2018
2280,380016,enable,5,2/24/2018
2281,380024,enable,5,2/24/2018
2282,396445,enable,5,2/24/2018
2283,382346,enable,5,2/24/2018
2284,382430,enable,5,2/24/2018
2285,382421,enable,5,2/24/2018
2286,390017,enable,5,2/24/2018
2287,390018,enable,5,2/24/2018
2288,390019,enable,5,2/24/2018
2289,390022,enable,5,2/24/2018
2290,380026,enable,5,2/24/2018
2291,382325,enable,5,2/24/2018
2292,394601,enable,5,2/24/2018
2293,370230,enable,5,2/24/2018
2294,362001,enable,5,2/24/2018
2295,362002,enable,5,2/24/2018
2296,362004,enable,5,2/24/2018
2297,362015,enable,5,2/24/2018
2298,362037,enable,5,2/24/2018
2299,383315,enable,5,2/24/2018
2300,383316,enable,5,2/24/2018
2301,383317,enable,5,2/24/2018
2302,363641,enable,5,2/24/2018
2303,370410,enable,5,2/24/2018
2304,370415,enable,5,2/24/2018
2305,370421,enable,5,2/24/2018
2306,387001,enable,5,2/24/2018
2307,387002,enable,5,2/24/2018
2308,387130,enable,5,2/24/2018
2309,387230,enable,5,2/24/2018
2310,387320,enable,5,2/24/2018
2311,387325,enable,5,2/24/2018
2312,387330,enable,5,2/24/2018
2313,387335,enable,5,2/24/2018
2314,387350,enable,5,2/24/2018
2315,387355,enable,5,2/24/2018
2316,387360,enable,5,2/24/2018
2317,387370,enable,5,2/24/2018
2318,387375,enable,5,2/24/2018
2319,387380,enable,5,2/24/2018
2320,387430,enable,5,2/24/2018
2321,387510,enable,5,2/24/2018
2322,387570,enable,5,2/24/2018
2323,387710,enable,5,2/24/2018
2324,388421,enable,5,2/24/2018
2325,396406,enable,5,2/24/2018
2326,396415,enable,5,2/24/2018
2327,396418,enable,5,2/24/2018
2328,396421,enable,5,2/24/2018
2329,396424,enable,5,2/24/2018
2330,396433,enable,5,2/24/2018
2331,396436,enable,5,2/24/2018
2332,396440,enable,5,2/24/2018
2333,396450,enable,5,2/24/2018
2334,396463,enable,5,2/24/2018
2335,396466,enable,5,2/24/2018
2336,396469,enable,5,2/24/2018
2337,396472,enable,5,2/24/2018
2338,396475,enable,5,2/24/2018
2339,385001,enable,5,2/24/2018
2340,384110,enable,5,2/24/2018
2341,384255,enable,5,2/24/2018
2342,384265,enable,5,2/24/2018
2343,360560,enable,5,2/24/2018
2344,360575,enable,5,2/24/2018
2345,360576,enable,5,2/24/2018
2346,360577,enable,5,2/24/2018
2347,363001,enable,5,2/24/2018
2348,363002,enable,5,2/24/2018
2349,363020,enable,5,2/24/2018
2350,363035,enable,5,2/24/2018
2351,384140,enable,5,2/24/2018
2352,384151,enable,5,2/24/2018
2353,384215,enable,5,2/24/2018
2354,384260,enable,5,2/24/2018
2355,362255,enable,5,2/24/2018
2356,362265,enable,5,2/24/2018
2357,362266,enable,5,2/24/2018
2358,362269,enable,5,2/24/2018
2359,394105,enable,5,2/24/2018
2360,394185,enable,5,2/24/2018
2361,394540,enable,5,2/24/2018
2362,395007,enable,5,2/24/2018
2363,395017,enable,5,2/24/2018
2364,396105,enable,5,2/24/2018
2365,393001,enable,5,2/24/2018
2366,393020,enable,5,2/24/2018
2367,394115,enable,5,2/24/2018
2368,394116,enable,5,2/24/2018
2369,382445,enable,5,2/24/2018
2370,382225,enable,5,2/24/2018
2371,385535,enable,5,2/24/2018
2372,362520,enable,5,2/24/2018
2373,362540,enable,5,2/24/2018
2374,361335,enable,5,2/24/2018
2375,394510,enable,5,2/24/2018
2376,394270,enable,5,2/24/2018
2377,382721,enable,5,2/24/2018
2378,392220,enable,5,2/24/2018
2379,392230,enable,5,2/24/2018
2380,392310,enable,5,2/24/2018
2381,362220,enable,5,2/24/2018
2382,362222,enable,5,2/24/2018
2383,362229,enable,5,2/24/2018
2384,362227,enable,5,2/24/2018
2385,391110,enable,5,2/24/2018
2386,391105,enable,5,2/24/2018
2387,391107,enable,5,2/24/2018
2388,391115,enable,5,2/24/2018
2389,391210,enable,5,2/24/2018
2390,370465,enable,5,2/24/2018
2391,393140,enable,5,2/24/2018
2392,393145,enable,5,2/24/2018
2393,393150,enable,5,2/24/2018
2394,391121,enable,5,2/24/2018
2395,394650,enable,5,2/24/2018
2396,363622,enable,5,2/24/2018
2397,364290,enable,5,2/24/2018
2398,365560,enable,5,2/24/2018
2399,388225,enable,5,2/24/2018
2400,360490,enable,5,2/24/2018
2401,360460,enable,5,2/24/2018
2402,360450,enable,5,2/24/2018
2403,388620,enable,5,2/24/2018
2404,365601,enable,5,2/24/2018
2405,364515,enable,5,2/24/2018
2406,365430,enable,5,2/24/2018
2407,395001,enable,5,2/24/2018
2408,395002,enable,5,2/24/2018
2409,395003,enable,5,2/24/2018
2410,360004,enable,5,2/24/2018
2411,360005,enable,5,2/24/2018
2412,360006,enable,5,2/24/2018
2413,396191,enable,5,2/24/2018
2414,361009,enable,5,2/24/2018
2415,383120,enable,5,2/24/2018
2416,370240,enable,5,2/24/2018
2417,394130,enable,5,2/24/2018
2418,394180,enable,5,2/24/2018
2419,394315,enable,5,2/24/2018
2420,394317,enable,5,2/24/2018
2421,394640,enable,5,2/24/2018
2422,392210,enable,5,2/24/2018
2423,370040,enable,5,2/24/2018
2424,396325,enable,5,2/24/2018
2425,396540,enable,5,2/24/2018
2426,388713,enable,5,2/24/2018
2427,389310,enable,5,2/24/2018
2428,389320,enable,5,2/24/2018
2429,389330,enable,5,2/24/2018
2430,383006,enable,5,2/24/2018
2431,360040,enable,5,2/24/2018
2432,370405,enable,5,2/24/2018
2433,370435,enable,5,2/24/2018
2434,396403,enable,5,2/24/2018
2435,384275,enable,5,2/24/2018
2436,384130,enable,5,2/24/2018
2437,394101,enable,5,2/24/2018
2438,395006,enable,5,2/24/2018
2439,395008,enable,5,2/24/2018
2440,394107,enable,5,2/24/2018
2441,396185,enable,5,2/24/2018
2442,396120,enable,5,2/24/2018
2443,396126,enable,5,2/24/2018
2444,396193,enable,5,2/24/2018
2445,391760,enable,5,2/24/2018
2446,382427,enable,5,2/24/2018
2447,364005,enable,5,2/24/2018
2448,389350,enable,5,2/24/2018
2449,389360,enable,5,2/24/2018
2450,391240,enable,5,2/24/2018
2451,363621,enable,5,2/24/2018
2452,384325,enable,5,2/24/2018
2453,384315,enable,5,2/24/2018
2454,384355,enable,5,2/24/2018
2455,384335,enable,5,2/24/2018
2456,384345,enable,5,2/24/2018
2457,384320,enable,5,2/24/2018
2458,396180,enable,5,2/24/2018
2459,382440,enable,5,2/24/2018
2460,382330,enable,5,2/24/2018
2461,380003,enable,5,2/24/2018
2462,380004,enable,5,2/24/2018
2463,382345,enable,5,2/24/2018
2464,395004,enable,5,2/24/2018
2465,361101,enable,5,2/24/2018
2466,361150,enable,5,2/24/2018
2467,388315,enable,5,2/24/2018
2468,388325,enable,5,2/24/2018
2469,388545,enable,5,2/24/2018
2470,388560,enable,5,2/24/2018
2471,382110,enable,5,2/24/2018
2472,360020,enable,5,2/24/2018
2473,360578,enable,5,2/24/2018
2474,363110,enable,5,2/24/2018
2475,365541,enable,5,2/24/2018
2476,370130,enable,5,2/24/2018
2477,370427,enable,5,2/24/2018
